1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
1,"Jacksonville vs Southside",Boys Baseball,"Arkansas",2/26/2027,5:00pm,"The Jacksonville varsity baseball team has an away non-conference game @  Southside (Batesville, AR) on Friday, February 26 @ 5p.","/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","https://www.maxpreps.com/ar/baseball/game/jacksonville-vs-southside-batesville/2-26-2027/?c=ed9f108f-6113-4406-9594-c8651a20e3ac","/baseball/ar/e78?2/26/2027","Titans","Southerners","https://www.maxpreps.com/ar/jacksonville/boys-baseball/","https://www.maxpreps.com/ar/southside-batesville/boys-baseball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F4%2F2%2F142de370-48fa-4ace-8da9-4062378dbb53.gif%3Fversion%3D637070661600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F7%2F4%2F07493326-5073-43ea-bcbb-5824d6c3e753.gif%3Fversion%3D639234949091779710%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
